FECHA,EMISION,PA,TV,TIPO BURSATILIDAD
2015-04-23 00:00:00,IENOVA*,89.29,1,AL
2015-05-07 00:00:00,IENOVA*,86.5,1,AL
2015-05-11 00:00:00,IENOVA*,85.91,1,AL
2015-05-28 00:00:00,IENOVA*,82.32,1,AL
2015-06-01 00:00:00,IENOVA*,82.68,1,AL
2015-06-04 00:00:00,IENOVA*,81.59,1,AL
2015-06-11 00:00:00,IENOVA*,82.52,1,AL
2015-06-17 00:00:00,IENOVA*,83.02,1,AL
2015-06-29 00:00:00,IENOVA*,79.48,1,AL
2015-06-30 00:00:00,IENOVA*,77.84,1,AL
2015-07-13 00:00:00,IENOVA*,79.06,1,AL
2015-07-15 00:00:00,IENOVA*,82.33,1,AL
2015-07-30 00:00:00,IENOVA*,78.36,1,AL
2015-08-04 00:00:00,IENOVA*,81.03,1,AL
2015-08-17 00:00:00,IENOVA*,79.22,1,AL
2015-09-03 00:00:00,IENOVA*,73.4,1,AL
2015-09-07 00:00:00,IENOVA*,71.47,1,AL
2015-10-07 00:00:00,IENOVA*,76.31,1,AL
2015-11-09 00:00:00,IENOVA*,76.89,1,AL
2015-11-10 00:00:00,IENOVA*,77.22,1,AL
2015-11-17 00:00:00,IENOVA*,74.63,1,AL
2015-11-18 00:00:00,IENOVA*,73.67,1,AL
2015-12-01 00:00:00,IENOVA*,72.82,1,AL
2015-12-07 00:00:00,IENOVA*,72.98,1,AL
2015-12-08 00:00:00,IENOVA*,71.05,1,AL
2015-12-16 00:00:00,IENOVA*,72.75,1,AL
2015-12-17 00:00:00,IENOVA*,72.92,1,AL
2016-01-20 00:00:00,IENOVA*,70.42,1,AL
2016-01-22 00:00:00,IENOVA*,69.92,1,AL
2016-02-26 00:00:00,IENOVA*,71.43,1,AL
2016-02-29 00:00:00,IENOVA*,71.07,1,AL
2015-07-02 00:00:00,NEMAKA,20,1,AL
2015-07-06 00:00:00,NEMAKA,19.91,1,AL
2015-07-31 00:00:00,NEMAKA,19.8,1,AL
2015-08-12 00:00:00,NEMAKA,20,1,AL
2015-08-24 00:00:00,NEMAKA,19.34,1,AL
2015-08-27 00:00:00,NEMAKA,20.17,1,AL
2015-09-02 00:00:00,NEMAKA,19.72,1,AL
2015-09-07 00:00:00,NEMAKA,20.35,1,AL
2015-09-25 00:00:00,NEMAKA,20.58,1,AL
2015-10-29 00:00:00,NEMAKA,23.91,1,AL
2015-11-05 00:00:00,NEMAKA,23.79,1,AL
